ValuesSurvey,BehaviorsSurvey,CARE_tot,EQUALITY_tot,PROPORTIONALITY_tot,LOYALTY_tot,AUTHORITY_tot,PURITY_tot,Individualism_tot,Collectivism_tot,PVQ_SD_tot,PVQ_PO_tot,PVQ_UN_tot,PVQ_AC_tot,PVQ_SE_tot,PVQ_ST_tot,PVQ_CO_tot,PVQ_TR_tot,PVQ_HE_tot,PVQ_BE_tot,Religiosity_tot,NFC_tot,conservatism_tot,Tightness,sex,age,religion,first_language,race,education,ResponseId
"My core values as a person are to be the best mother I can possibly be and to be the best wife I can be. See I grew up with an alcoholic mother and a father that was never there for us. He was always out of town working. As I have gotten older and so has my child. I have learned things from being a child that have reminded me over and over again what to not be to my child. My parents were very abusive towards me and my siblings. Today I refuse to hit my child in anyway. Growing up back then versus growing up today is so different in so many ways. I know that I'm a great mother. I know this because my child isn't afraid of me. She isn't afraid for her well being. I do the best I can every single day for my child. I would do anything under this sun to give my child the live she deserves. I would even give my life to her, if it came down to it. 
Being a good wife. I have not always been good to my husband. I have done terrible things. Things he should hate me for. Things he should have walked away from. But he didn't. That man has stuck by me through my ugliest and my prettiest. And every since I did what I did, I have done everything in my power to make it up to him. I can't explain the feelings I have for my husband, we'd be here all day, but just know I can't live without this man. He has pulled me out of the worst of the worst mental states I have ever experienced. For that I own this man my life. I live everyday to do what I can to make him happy. I do everything I can, so he doesn't have to. I would walk through hell if I knew he didn't have to. I would also give my life for that man. He has loved me like no other person on this planet has. And let me tell you, I love him like no other on this planet. And I will continue to do so, till my last breath.","A week ago today was Friday. So to start off I woke up and made myself a cup of coffee. After my coffee was done I proceeded to wake my daughter up and get her ready for school. After she was done getting ready for school and ate breakfast we were off to the bus stop. At the bus stop we talk about what she is going to do in school and how she is going to act at school. During the day, while she is at school, is when I get all my house chores done. My house chores consist of me taking the dog out 3 times a day, washing clothes for myself, my husband and my daughter, washing dishes, putting dishes away, cooking dinner, cleaning the floors, scooping the cat boxes, feeding the cats and if I have time, I try and squeeze a nap in there. When my daughter arrives home from school, me and her together will eat a snack out of her snack box. After she gets that done we start on homework. Her homework includes me and her reading either one or two books together and then she will take a test on the books that we read together. I will sit with her in case she needs any help. Normally she doesn't. But I am there if she needs me. After homework is done, me and her will start on our chores. At this specific time of day I know what I have to do and she knows what she has to do. So she goes on and does her thing, while I go and do my thing. After chores are done, I will start on dinner. While I'm cooking dinner I normally wash dishes as I dirty them from cooking. If my husband is home we will sit down together with no phones or electronics. But normally it's just me and my daughter. She prefers that we eat together but with electronics. So during this time, I will watch Netflix and she will watch YouTube. After we have ate our dinner we tend to sit there for awhile watching whatever it is we are watching. Mainly for our food to settle. Another because we don't really want to do anything else for the day. We've both had long and stressful day, so it's nice to just sit and watch something on our phones or tablets. But eventually we have to get back to reality and finish up our chores and get ready for the end of the day. The end of the day entails her taking a bath and me taking a shower. After that I put my daughter down in bed for the night. I usually finish up and chores I have not finished or gotten to for the day, while I wait for my husband to get home from work. When he gets home, I sit with him for a few hours and we talk about our day. How his day was at work and how my day was at home. After that I get myself ready for bed and my husband tucks me in for the night. I wake up the next morning and do it all over again. See I'm a stay at home mom, I don't get out much and I don't really have time for hobbies or interest. This is pretty much my every single day life.",3.6666666666666665,2.1666666666666665,2.5,3,3.3333333333333335,2.8333333333333335,4.666666666666667,4.333333333333333,5,3.5,5,3.5,4,5,5,3.5,4.5,6,5,3.3333333333333335,2.5,4.166666666666667,1,32,6,English,1,2,R_3k6C3p9tRvAkS40
"I'm a college student and that is my driving force. My family grew up not having much so my goal is to not repeat the cycle. I have made many connections while in school and have been doing volunteer work in my field. My ultimate goal is to get to a point, financially, to where I am stable and can help others with any disposable income that I have.   I like networking, though it can be tiring, but it's all in order to reach my goal.","Last Thursday, I woke up around 6:30, the usual time, and took a shower. I got dressed and headed out of my dorm to get a bite to eat. I stayed in the cafeteria and checked my phone every now and then. By 9, I left and went to the library on campus to get some last-minute studying in. My exam was at 1:15 so I stayed and studied until 1. I went, took my last exam for the semester and by 3, I went back to the room, grabbed my suitcase that I packed the day before, locked up my room, and checked out for the semester. I hopped on the bus and went to the train station before hopping on the train and leaving by 6:20. I got home around 8 and had dinner with my family before unpacking and going to bed around 9:30

Every other day, oddly enough, has been the same. I wake up, shower, get dressed, play Xbox, eat breakfast alone, play Xbox, eat lunch alone, play Xbox, clean the house until 6-6:20 when both parents arrive home, help cook, eat dinner with family, we talk for a bit, they go to bed, I stay up until 9 before I go to bed.",4.833333333333333,4.5,3.8333333333333335,2.1666666666666665,2.8333333333333335,1.8333333333333333,4.5,4.333333333333333,4.5,4,6,5,5.5,5.5,4.5,4,6,5.5,21,3,2,2.8333333333333335,2,35,1,English,2,6,R_2sSYja5WD2kXvkZ
"Honesty is one of the most important values because it says everything you need to know about someone. Treating people how they deserve to be treated is another one of my most important values - if someone doesn't deserve my trust and kindness, then I move along. Being humble is another main value of mine because arrogance is disgusting and it's important to me for people, including myself, to stay humble and not be showy and have a big ego.","I attended a concert of one of my favorite singers with the local orchestra. I got dinner out but to-go because of the pandemic on that night as well. I went to the library to pick up some books I had on hold there. I read a lot because I'm trying to reach my reading goal by the end of the year. I showered multiple times. I did yoga every day. I made breakfast, lunch, and dinner every single day. I did some work from home Tuesday through Friday.",2.6666666666666665,4.5,2.8333333333333335,2,2.1666666666666665,1.3333333333333333,4.666666666666667,2,4.5,2,4.666666666666667,2,5,3,4.5,3.5,3,3.5,5,2.8333333333333335,1.5,2.8333333333333335,1,36,6,English,1,4,R_3PRmxkMRdcSTSwq
"Family is most central, most important part of my life. I grew up without a good strong family unit, so keeping what I have built, my family, together and safe is my biggest goal. Faith, Family, and God. Those are my guiding principals. I try to be the best mom and wife I can be, I am not perfect, but this is what matters most to me. I also try to be the kindest, most patient grandma to my granddaughter. I know she has a lot of people who love her, but gramma's are different. The love is completely different. I just try my hardest to provide stability, warmth, and love to all those in my life. God is very important to me. Without HIM I wouldn't be where I am today. He is amazing and His love is evident to me daily, even though I fail and am undeserving, His love is completely unconditional.","Last week at this time, I was calling people to renew their business licenses. After work, I picked up my granddaughter for a sleep over. We went to the store, ate dinner, played, and she finally went to sleep very late. She woke up super early Saturday morning, and we played more until her mom wanted her back. On Sunday, it was a lazy day, my husband, son, and I stayed home in our pj's and just enjoyed the day. On Monday, the work week resumed with more calls to businesses that needed to renew their license, and more package delivery tracking. I am still missing a few packages that have yet to be delivered. I was able to get several marked off the list. After work, I picked up the grand baby for a little gramma time and took her home around 7 p.m. then I came home and watched football with my husband. Tuesday through Friday were almost identical to my Monday. Work, pick up baby, take baby home, then relax for the evening.",5,3,4.666666666666667,4.833333333333333,4.666666666666667,1.8333333333333333,3.1666666666666665,4.833333333333333,3.5,3.5,5.666666666666667,3.5,3.5,4.5,5,5.5,3.5,6,20,3,4.5,3.8333333333333335,1,42,1,English,1,4,R_2dYpF5EIGdbVN3a
"One of my central values is to treat people the way that I want to be treated. When people are rude and mean or don't agree with me, I try to make sure the way I behave towards them reflects respect. I feel that this may be a way to be a positive influence on others. That perhaps they will see that there is no need to be rude or argumentative. It is important to me that there is peace and calmness in my life. If this means walking away from arguments, then that is what I do. It is important to me that I follow the rules of social norms as much as I can. I do not want to offend anyone or make them feel uncomfortable. I value other people and their feelings.","I went to work 4 days and after work on each of those days I came home and took a shower and then made dinner for my husband and myself. After dinner we would relax and watch some TV for a little while.  I took my dog for a walk and played with him for a bit. On my first day off, I went Christmas shopping and grocery shopping, I cleaned the house and did laundry.  The next evening, my husband and I started putting together a 1000 piece jigsaw puzzle. We have worked on that puzzle every evening after dinner for the past 3 nights. I read a few chapters of a book before going to bed last night.",3,1,3.5,4,4,3.1666666666666665,3.5,3.1666666666666665,3,3,3.3333333333333335,4,6,2.5,6,5,3.5,3.5,15,3.5,6,4,1,54,1,English,1,3,R_2uNVEJ7Q1vboG0d
"I think everything in world has only one true fact. It can not be good and bad. So, when I need to make decision, I need to find difference side of the thing and find one I believed.",I went to church service on Sunday morning. I worked 9 am to 5 pm during the weekday at home. I went out for lunch around 2 pm to 3 pm when work was not busy.,3.1666666666666665,2.6666666666666665,3.5,4,3.5,2.8333333333333335,3.3333333333333335,3.6666666666666665,4.5,2,4,2.5,5,3.5,5,4.5,3,4,22,2.5,5,3.3333333333333335,2,58,1,English,3,5,R_3D7ulY9YxRjFgGh
"One of my core values is to do best not to judge. Have empathy. Although everyone judges to a certain degree, it is important not to let any preconceived judgements cloud your perception of who someone really is and their potential. I grew up abused and bullied due to being a bit different in things I liked, styles I enjoyed, and hobbies. It affected me for the rest of my life. In my earlier years, I coped with what happened to me by using drugs, which led to an addiction. I am now 4 years sober, and I often see how people at their lowest are judged. People look at me and see someone strong, but sometimes they don’t know my past and make comments about people who are just like how I used to be. It’s important to me to speak up for them, and show that everyone has value. Just because someone doesn’t fit your idea of a successful life, or doesn’t fit your religious checkpoints - they are not less than you. Everyone has value and potential, and until we as a society can openly take a look at what causes addiction and other behaviors society looks down on - we won’t ever be able to reduce it. Instead of looking at people as hopeless or wastes of life, people need to have some empathy and ask what got them to that point, and lend out a helping hand.","I have been working mostly, Monday through Friday. I work at a bubble tea shop, and I also have been training in an employee on how to close. I got a new Gaming PC, so every night after work I’ve been playing 7 Days to Die with my friend. It’s been a lot of fun. Then on Thursday, my boyfriend had court so we drove up there. It took a long time due to the wait times, so I went Squishmallow hunting. I collect Squishmallows for fun, and whenever I’m in a new area I tend to drive around local stores and see which ones they sell. Then today, I went on Amazon Mturk due to finances. Any bit helps, and I often have fun doing the surveys or tasks.",4.833333333333333,2,2.6666666666666665,2,1.3333333333333333,1.1666666666666667,3.8333333333333335,3.1666666666666665,5.5,3.5,5.666666666666667,4,4,3.5,3.5,3.5,4,5,9,3.3333333333333335,1.5,3.3333333333333335,1,22,7,English,1,2,R_1pyzcLSB2YarH0G
"Caring for my family is my most basic value. They are the most important things in the world to me. Most of my decisions are made based on what is the best for them and what will make them happy. Our home is also important to me and keeping it in good condition so it can provide shelter for us and so it is a happy place is high on my list of priorities. Sometimes I forget my most important values and begin to focus on other outside things that do not matter as much as my family. I have to be brought back to my senses and put them at the top of my list, where they belong and should always be. My family makes me who I am.","I woke up not feeling well and sprayed my house with Lysol. I moved from my bed to the couch, I remained as far away from everyone as I could in my small house. On Monday I woke up and tested for Covid since I could not smell My test was positive and I have stayed in the living room since. I get up to go into the bathroom, I spray everything down with Lysol on my way out and I come back to the couch. I have watched TV and talked on the phone. One day I did my nails. I eat whatever my daughter puts at the door. I sleep. That's been about all I have done this week. I'm hoping to get back to my normal life soon. Tomorrow will be ten days since my first symptoms and they say you have to isolate for ten days and can then you're no longer contagious.",4.833333333333333,3.1666666666666665,3,3.8333333333333335,3.5,1.5,2.6666666666666665,4.166666666666667,4,3.5,5,3.5,5.5,2.5,4.5,5,3,5.5,15,2.8333333333333335,4.5,3.3333333333333335,1,58,1,English,1,3,R_1F8TPGIVXICechw
I believe that you should treat others how you want to be treated. You can control that . You can’t control how people treat you. I believe also that you can’t be friends with everyone. You can’t please everyone. You should try to do what makes you happy despite what anyone else says.,"I believe in staying physically fit and eating as healthy as possible. I walk about 5 kilometers every day. I eat a balanced diet. I include fruits, vegetables, protein, and whole grains in my diet. I went to a venue where the projecting African animals onto the walls and info about them.",3.1666666666666665,4.166666666666667,3.8333333333333335,2.6666666666666665,2.8333333333333335,3.1666666666666665,4.333333333333333,1.6666666666666667,5,3,5.666666666666667,3.5,4,5.5,4,4,5,5,13,3.3333333333333335,2,3.1666666666666665,1,33,1,English,26,5,R_BFda3fUpnuNs9j3
"MY CENTRAL VALUES ARE PRETTY SHORT AND SIMPLE. 

  FAMILY: THEY KEEP ME GROUNDED AND HUMBLE
  
SUCCESS: I DONT NEED TO BE RICH TO BE HAPPY I JUST LIKE MY BILLS PAID

  FRIENDSHIP: I VALUE MY FRIENDS THEY KEEP ME LEVEL AND ARE REALLY GREAT LISTENERS IF I NEED TO VENT AND RELEASE STEAM","AS SOON AS I GET UP I GO TO THE BATHROOM THEN MAKE MY BED THEN MAKE AND DRINK MY COFFEE THEN I RUN THRU THE HOUSE CLEANING AND DOING LAUNDRY WHEN NEEDED. THEN I WOULD HAVE WORKED ON MTURK FOR AN HOUR THEN I GET DRESSED AND GO TO WORK. WHEN I GET HOME I PLAN AND COOK DINNER THEN EAT DINNER WHILE WORKING MORE ON MTURK THEN I CLEAN UP FROM DINNER (PUT FOOD UP, DO DISHES) THEN I TAKE A BATH THEN GO TO BED. THESE ARE MY NORMAL ACTIVITIES MONDAY-FRIDAY. THEN ON SATURDAY I WENT GROCERY SHOPPING CAME HOME TO PUT GROCERIES UP THEN RAN THRU THE HOUSE THEN SAT DOWN AND WATCH TV THEN MADE DINNER AND CLEANED UP FROM THAT THEN WENT TO BED. ON SUNDAY I GET UP MAKE MY COFFEE THEN MADE BREAKFAST THEN STA AND WATCHED FOOTBALL ALL DAY THEN COOKED DINNER AND ATE WHILE WATCHING THE SUNDAY NIGHT GAME THEN CLEANED UP FROM DINNER AT HALF TIME THEN AFTER THE GAME I WENT TO BED.",3.1666666666666665,1.5,3.8333333333333335,2.1666666666666665,4,1.5,3.3333333333333335,3.1666666666666665,4.5,1.5,4,1.5,5.5,3.5,2.5,5.5,5,4,12,2.3333333333333335,4.5,3.8333333333333335,1,52,1,ENGLISH,12,2,R_PHgcCUQUaQW10IN
"My deepest values includes the belief that we are all interrelated, not just with each other, but with everything in the universe. We have the ability to live in a way that would help end suffering and loss across the world, but we have been told lies about the need to fight each other and ignore the suffering of the other person and sometimes ignore the suffering of entire nations.","I took care of my dogs and feed wild birds. That included cooking my dogs food, storing the dry food that I mix into their meals. I spent time working in my garden and cleaning away old limbs and fallen leaves. I took care of my home (dishes, sweeping, cleaning surfaces, etc.)On a gaily basis I showered, did my hair, got dressed and fixed and consumed meals.",4.666666666666667,2.5,2,1.3333333333333333,1.8333333333333333,1.5,4.666666666666667,2,5,3,5.666666666666667,3,4.5,6,2.5,4,2.5,4,16,3.1666666666666665,1.5,2,1,59,1,English,2,6,R_1LLMQZadrrHXhQn
"My central and most important value is compassion, which I try to practice in every aspect of my life. Not causing other beings pain and relieving their suffering whenever I can is my lifes purpose and mission. I am a committed vegan, a rescuer of animals and an advocate for their wellbeing. I'm interested in politics and feel it is one of the best ways to care for my fellow human beings, so I consider myself very liberal in my views. I believe in standing up for the underdog and always align myself with disadvantaged groups. While I value cooperation, community and global citizenship, I'm also highly individual in my personal life. I believe people should have the right to live authentically and in a way that is most true to themselves.","The last seven days have been mostly filled with everyday activities. I wake up with the sun, take my dog outside for walks, and because we finally got some snow she has loved playing in it, making our walks a little longer. I also care for my daughters two cats while she is in London. I spend a lot of time on my computer, mainly socializing with friends and family. This is better done online now that we are in the middle of a global pandemic. My sister sent me a link last Sunday for an app that allows me to earn cash back by submitting my shopping receipts, so I signed up for that. On Monday my other sister introduced me to a free online TV/movies streaming platform that I have been enjoying. I got the news last Tuesday that a long time family friend passed away, so I sent my condolences to her daughter and got the funeral details so I can attend. Last Wednesday and Thursday we had a thunderstorm here in Minnesota, a rare thing to happen in December. It was followed by a first time ever occurance...extreme tornadoes, two of them, touching down in two different towns and causing much damage. Although we do get tornadoes in Minnesota in the summer, it has NEVER in recorded history happened in December. Today I will finished some house cleaning and then went to the grocery store.",5,4.833333333333333,1.5,1.8333333333333333,2.3333333333333335,1.8333333333333333,4,3.6666666666666665,5,2,6,3.5,5,4,3,3.5,3.5,4.5,6,3.5,1,3.6666666666666665,1,51,6,English,1,3,R_9ZeHVk3UYW1qk4F
"I have a personal relationship with God and that guides my moral life.  I follow God's principles as much as I can while not requiring anyone else to do so.  However, when interacting with people I do not apply God's principles because no one else does, even though they claim that they believe in God.  The only way to speak to people is to pretend that I am an atheist because they will not understand God's principals.  I will interact with people on what they think is morally right, even though it contradicts with God's principles.  Ironically people cannot even live by their own principles.  They would get mad if I point that out so it's no use trying to correct them.  I simply let them fail be their own fault.  It does not matter as long as I can get a job and support my family.","I went to work.  At work I checked my email to see if I had urgent tasks.  If there are no tasks, then I would continue working on tasks that I had not finished on previous days.  I ordered some office supplies for the department.  I had lunch and took 2 breaks.  When I got home from work I did some strength exercises.  I then had dinner and went to a friend's place to hang out.  After visiting my friend I went home, brushed my teeth, had a shower, then went to bed.  I went jogging on 2 days of the past week.  Mostly it was work and hanging out with friends.  Occasionally we went out to dinner.  Twice a week I went to martial arts training.",1,3.6666666666666665,2.1666666666666665,1,1.3333333333333333,3.1666666666666665,4,1,3.5,3,4,1,4.5,1,1,3.5,5.5,2.5,16,2.3333333333333335,4,3,2,42,1,English,3,5,R_1ZUhk6RvtYdsYKJ
"For me, recently I found that one of the most important values of my life is my family. I didn't realize how important my family was to me until recently when my grandfather passed away and my grandmother moved away (rejecting the rest of her family). It made me realize how important family was to me. Not only that, but how important time also is. We are only here on this earth for a very short amount of time. We should spend every minute doing the things we love and spending time with the people we love. We aren't promised tomorrow and we should live every day like it's our last. Make sure to tell the people you love that you love them when you have the chance. Do you want to be remembered for your contributions to your work or how much you cared about those around you? These are the things that I have found to be the most important in how I live the rest of my life. I will continue to put effort into the things and people that matter most to me.","Recently, we have had our offer accepted on a house that we will move into at the end of December. The house has many renovations that need to be done. So in the past week I have been planning out many things that I want to do to the house on my phone. I have a list of things I want to accomplish after we move in. Renovation is one of my favorite things to do and I can't wait to get started renovating on the house. This has taken up a lot of my time in the past week. I can't stop thinking about all the things I want to accomplish. So alongside my daily activities this is what I have been doing.",4.166666666666667,2.1666666666666665,4,3.3333333333333335,3.3333333333333335,3,3.8333333333333335,3.3333333333333335,5,4,4.333333333333333,4.5,5,6,4.5,4.5,5.5,4.5,20,3.3333333333333335,5,4.333333333333333,1,25,1,english,1,5,R_2zIv0cslOtjb3Jd
The most important values in my life are for me to be independent. I want my own place as well. I am tired of living with my parents. I am also tired of putting them first. I want to live my life and have fun. There is so much I want to do. If my mama hadn’t got sick and needed me I could do what I want,Last week me and my boyfriend went on a 2 day trip. We had fun and the cabin was beautiful. I needed a break. He cooked me a nice dinner and it was very romantic. We went walking in the woods near the cabin and we saw deers,3.6666666666666665,3.3333333333333335,2.8333333333333335,2.3333333333333335,3.6666666666666665,4,4.333333333333333,5,4,1,6,1,3.5,4.5,6,3.5,6,4.5,15,3,2.5,4.333333333333333,1,30,1,English,2,5,R_cOs2iKNDBylXZHr
"A few of my most central and important values that really stand out for me is 1: always be honest. I cannot stand being lied to, not told the whole truth because of nefarious reasons anything that is a lie i simply cannot tolerate. I even tell someone ""I do not care how bad it is please just tell me the truth and i will not get mad at you. NO matter how bad it is, no matter what and you have my word"" AND i mean it and anyone who has known me for a while and knows me for me knows that's the truth..And STILL when I know 100% without a doubt what the truth is this person will still look at me and lie right to my face. Is it post to be a significant part of my life. So i have been rather emotional about that especially lately. Battling it inside of me of what to do. I probably could've let it go once but four or five times? NO! I can't do it anymore... Honesty is what growing up the matter what just told the truth because wise always come back and make things worse. So I hold myself to a moral standard being honest. I feel betrayed and I feel like this certain person is trying to get one over on me but why would they lie if they weren't trying to hide something bigger..","My entire last seven days has not honestly been very exciting. As soon as I wake up I make a pot of coffee I get on my laptop and start trying to work on Mturk Hits just to make enough money so I can make ends meet. I start usually eight or 9 AM. I quickly take a 10 minute break in the afternoon to make a sandwich and work until nine or 10 at night. And I haven't had one day off haven't cut myself any slack at all since September. That's been my every day routine. Soon as I get off of Mturk take a shower and eventually fall asleep and start over again that's literally all I've done every day, day after day. I haven’t even been to a store in a week. So i am sorry I did my best at this writing task. I really did.",4,2.3333333333333335,4,3.6666666666666665,4.333333333333333,2.5,2.8333333333333335,3,6,4,6,2.5,4,5,5,6,3,6,13,2.5,4.5,3.5,1,43,1,english,1,2,R_2rSXg5q4aWcf9OZ
"The most important values in my life are action over inaction and making sure I am not living life passively. For the first, I simply believe that it is one thing to hold a belief or to speak so easily about something but a more important next step is to really live those beliefs. For example, we hear a lot about being anti racist or pro environment and I know many people talk about how these beliefs are important to them but i'm more interested in how we can show these through organizing or community action or writing to local politicians about how these topics impact the community. I try to live my beliefs when I can and I know it's a huge privilege to be able to do so and not face repercussions on my job or my living situation. With work especially, diversity, equity, and inclusion are extremely important to me and I show up during meetings ready to discuss why these things are or are not happening in the spaces I take up.","Here is a list of things I did in the past week: went to sleep, cleaned my kitchen, cleaned my bathroom, watered the plants that sit in the windowsill of my living room, made my bed, brushed my teeth, brushed my hair, washed my face, applied lotion to my face, applied sunscreen to my face, put on clothes, put on shoes, walked on the sidewalk, rode on an elevator, took public transportation, went through a security line at an airport, drank a smoothie, rode on an airplane, read a book, rode in a car, decorated a Christmas tree, spent time on my laptop, showered, attended work meetings, composed and sent work emails, attended a diversity, equity, and inclusion seminar, talked to a friend about college, ate breakfast, lunch, and dinner, played a video game, exercised, and spent time with family.",4.666666666666667,4.5,2.3333333333333335,1.5,2.8333333333333335,2.1666666666666665,3.3333333333333335,2,4.5,5.5,5.666666666666667,3.5,5,4.5,4,4.5,4,5.5,9,3.1666666666666665,2,2.6666666666666665,1,27,6,English,13,6,R_Or3XbqYs1J40CoF
"The first is to honor God with all my heart and mind.  The second is to love your neighbor as yourself.  I think this goes beyond the ""golden rule"".  I can give to charity without expecting any return to myself except that I am making an impact. Love takes many forms.  Without love, I am nothing.","I would love to send Christmas greetings to my friends and relatives.  I did have some greeting cards, but not enough for everyone.  I usually purchase cards from UNICEF, but I do not have enough money.  I made a list of who got cards and letters, and who got just letters.  I revised the  holiday letter that I sent last year.  I checked the ink levels in my printer.
I made sure that everyone got something.

I went fishing yesterday for the first time in two years.  I enjoyed using my flyrod. My legs were to stiff to stay as long as I wanted.  I also forget clips for cutting a leader.  Yesterday was an amazing warm day for December.",1.6666666666666667,1.3333333333333333,3.3333333333333335,1.8333333333333333,1.1666666666666667,1.3333333333333333,3.3333333333333335,3.1666666666666665,6,2.5,4.666666666666667,3,4,1,4.5,2.5,3,3.5,24,3.6666666666666665,1.5,3.1666666666666665,2,75,1,English,2,5,R_1rGN8tGrGyvEW3J
"My central values in life are to be comfortable and do as little harm as possible. Being comfortable is easy and, in the way I do it, makes doing less harm easier in many ways. As much as I love my work, it's not the center. My time is too precious for that, so I, and my spouse, aren't striving to be rich. I stay home a lot because that is a comfortable space. We both tend to keep to ourselves and maintain a mellow and relaxed home space. 

Reading and studying contribute to both my comfort and trying not to be a jerk. I enjoy both, but I also think that they help me to understand others better and to understand the impact of my actions better. I often encounter ideas and perspectives that I would not have found otherwise.

It's also easier not to do harm when I don't go out and around other people. I find it hard to understand what they want, and I'm definitely not the greatest at turning the other cheek. I'm not a particularly vengeful person-I won't hunt anyone down to get even or carry a grudge-but if you slap me, I'll slap you right back without thinking.

When I do get around folks, I do my best to try to recognize that they probably mean no harm. I also try to perform spontaneous acts of kindness when I can. Compliments, jokes, listening. Whatever I can think of that might put a smile on someone's face or make them feel good for a minute. 

In the end though, I'd just as soon be home with my books and spouse.","Last Saturday was unusual for me because I normally work on that day. However, I injured myself somehow and woke up in a lot of pain on that morning. As soon as it was a reasonable time of day to do so--I typically wake up between 6 and 7am, I contacted my boss. My right shoulder hurt so badly that even turning the pages of a book was unpleasant and painful. So I spent most of the day under a blanket with my arm propped up on a pillow to help stabilize it. I watched a LOT of TV since I couldn't do anything. I watched a play through of Resident Evil 2 from Leon's perspective, one episode of Star Trek: The Original Series, and then 6 episodes of Squid Game. I also very carefully stretched my arms at some point to ease the pain. I took ibuprofen throughout the day. 

Sunday, I felt better and didn't hurt, but I was carefully not to use the arm so as not to re-injure it. I studied and read most of the day. I studied both Thai and Spanish. I read from multiple books including The Portable Sixties Reader and The Blacktongue Thief. I also finished Squid Game because it was AMAZING.

Monday was another off day, and I was able to straighten up the house. As is typical of me, I studied both Thai and Spanish as well as reading through the variety of books I'm currently reading. I started a new audiobook that day, The Way of Kings by Brandon Sanderson. I also had a hearing aid cleaning appointment that afternoon, and after that, I treated myself to a poke bowl.

Tuesday was a work day, and it was pleasant and peaceful. I saw Rida on the bus in to work that day, and there was some excitement as a man, who was being nasty and abusive to the driver, had to be thrown off the bus. All the regular riders had a good time joking and gossiping about it after he was off. I enjoy my job and the company of my coworkers, so I typically like going to work. All of our patrons were pleasant, so while it was busy, I had a good day. I brought in homemade hot cocoa mix for all of my coworkers. Tuesdays are long for me so I typically go to bed within an hour of going home. Staying up long enough only to eat, prepare my clothes for the next day, and brush my teeth. I ate ratatoille (sp?) with Italian sausage as well as black beans and rice with sweet potatoes that day.

Wednesday was great. On Wednesdays, I get to see all of my coworkers and I love that. Our boss bought us delicious pizzas and salads that day. Additionally, two patrons brought us some boxes of candy and one of our coworkers brought a tasty Chex Mix. When I got home I relaxed with a tasty hot cocoa to which I added some Dark Rum. I read and chatted with my spouse and snuggled my cat.

Thursday as usual, I cleaned the whole house. I'm off that day, and I like to get everything done in one day if possible. I washed my laundry, cleaned the bathrooms, etc. I read and studied in between rounds of housework. I worked out at some point. I sent my husband the grocery list via text, and, as is our wont, he picked up pizza on the way home and we both curled up to eat pizza and watch British comedy. We are currently watching through all of the Would I Lie to You episodes. After that, we each relaxed in our own way (he games, I read).

Today, I have done little other than study and read so far.",2.6666666666666665,2.3333333333333335,2.1666666666666665,1,1.8333333333333333,1.1666666666666667,3.3333333333333335,3,3,1.5,5,1,5,1.5,1,1.5,4,4,5,2.1666666666666665,3,4.166666666666667,1,49,6,English,1,3,R_3xxyOPOolCWsmMV
"The most important thing to me in life is honesty, I think it is important to tell people the truth. We should avoid hurting other people, just like we wouldn't want them to hurt us. Another important value is advocacy. I am forced to get a COVID vaccination even though I truly do care for my patients, i have to get something that I disagree is right for my life. I will always advocate for my patients and never, ever force them to do something they are uncomfortable with. I think it is important to have faith. Without it, the world can become even darker than it already is, and that can be scary. Faith is a very important value in my life to keep me afloat.","Over the last seven days I have...
I have worked every single day at the hospital. I have woken up at around 6 or 6:30 AM every morning. I go for a walk with my dog and then get ready for work. I go to work and take my lunch from 12-12:30 and then I get off at 4:30. At 4:30 PM every afternoon I have been getting on Instacart and Door Dash to make some extra money because my electricity got cut off because I could not afford the bill. I have also cried every day.",5,3.1666666666666665,4.333333333333333,2,3.8333333333333335,3.3333333333333335,3.3333333333333335,3.8333333333333335,5.5,5,5.333333333333333,5.5,3.5,4.5,4.5,4.5,5.5,5,18,3.1666666666666665,5,4.166666666666667,1,27,1,english,1,3,R_2wLbUiYtUoOZLXu
"Understanding your personal values helps you live an authentic, happy life. Learn how to identify them, and use them in decision-making.Maybe you've taken this first step toward self-discovery, but haven't uncovered a path toward achieving your main goals. Dreams, personal values .",Moving more and eating better can help you improve your health and keep up Outlines four stages of changing old habits to new healthier ones and offers ways to help improve eating and physical activity habits.with ... Try sneaking a few minutes of physical activity at a time into your day.,4.5,4,3.6666666666666665,3.5,4,3.3333333333333335,4.166666666666667,3.8333333333333335,4,4.5,4,5,5,6,4,4.5,4.5,5.5,21,3.8333333333333335,6,3.6666666666666665,1,41,1,English,1,6,R_Acil7zTkr1i8KOt
